Latency(ns)
61.14
32.77
25.01
89.22
74.21
79.17
81.85
83.35
80.74
81.03
81.86
83.22
85.5
84.87
84.33
81.26
81.68
81.84
81.04
85.27
113.24
56.49
56.55
61.41
59.23
60.08
61.28
57.91
57.27
55.99
52.61
52.41
52.52
50.93
50.06
55.94
54.52
53.54
55.39
57.12
63.34
67.29
81.13
87.83
88.88
88.73
89.2
86.94
81.85
76.25
67.34
67.37
69.3
74.51
69.11
68.97
68.67
64.98
74.68
81.43
82.51
87.52
95.35
100.76
107.2
110.54
111.39
115.38
121.57
122.13
120.75
37.91
29.91
25.47
149.29
118.42
99.4
79.07
84.65
86.4
82.81
84.87
80.46
81.0
91.05
90.92
92.37
83.02
85.42
103.02
91.83
97.19
99.81
101.71
103.78
132.42
107.52
104.65
98.86
101.98
91.05
92.9
87.54
201.4
93.22
94.94
181.18
98.58
97.4
98.68
121.99
102.83
177.8
181.42
135.64
126.64
127.55
122.08
127.19
125.73
130.71
134.82
130.32
127.19
137.5
127.17
125.87
126.97
128.81
128.06
128.95
125.61
122.98
123.98
127.98
132.2
128.87
131.01
124.81
125.77
129.72
131.71
128.86
129.15
128.87
135.31
140.64
120.0
61.48
25.09
89.93
78.38
77.95
80.7
82.29
80.13
85.67
78.94
82.64
85.33
78.01
83.82
80.49
85.66
73.17
85.37
73.97
84.53
80.12
81.78
74.28
81.07
82.86
80.63
74.83
81.06
75.5
74.95
83.8
79.87
75.57
76.1
77.07
76.64
74.73
73.09
80.74
81.29
78.13
79.5
80.93
76.35
79.43
79.33
76.64
73.83
77.1
77.85
81.75
78.43
78.05
81.71
88.23
88.34
86.32
79.96
203.69
60.31
55.43
58.11
56.98
55.51
58.01
56.22
53.42
56.7
55.01
52.84
57.71
53.35
55.22
56.11
53.74
56.02
56.38
53.36
56.95
63.88
59.69
61.34
62.77
56.0
58.54
58.59
55.04
59.14
55.13
56.98
58.9
55.39
61.55
59.74
56.95
62.88
57.05
58.63
60.63
57.2
58.14
60.96
54.6
59.5
57.06
55.0
57.32
58.33
57.3
59.0
55.49
59.71
58.28
58.57
54.47
58.14
69.19
61.39
64.43
66.01
70.27
72.73
65.12
65.39
34.07
196.99
130.64
63.75
63.92
64.68
65.69
59.79
59.87
63.29
60.29
60.14
62.96
61.3
60.06
61.68
62.08
59.88
60.87
61.6
57.44
59.0
60.7
57.31
59.08
61.56
57.31
61.33
57.48
58.57
60.23
57.1
60.57
59.51
57.65
62.33
57.31
59.22
60.09
57.3
62.25
61.72
61.09
65.13
61.23
61.61
65.43
59.97
61.15
63.28
59.45
64.75
64.17
56.63
71.39
67.75
61.93
67.0
62.29
60.8
64.83
61.44
63.7
60.35
146.92
42.44
39.92
39.19
38.57
39.77
39.33
50.46
52.69
49.95
52.59
50.72
52.37
55.66
51.41
62.26
52.1
55.78
52.93
57.13
57.55
57.42
59.23
56.32
56.81
58.1
58.48
61.98
63.23
61.94
62.93
70.55
72.8
79.49
66.67
69.83
67.09
67.57
68.04
69.27
68.91
72.03
72.6
74.91
78.42
78.11
72.76
73.69
77.04
77.52
70.89
62.33
74.98
67.79
65.53
62.87
62.52
62.7
58.86
59.02
42.49
41.05
40.1
39.72
42.04
49.06
45.53
50.65
88.88
95.53
99.7
104.93
111.14
117.87
117.72
178.58
66.6
63.65
63.71
65.2
65.9
63.51
63.69
64.11
75.28
54.22
58.82
57.41
58.97
59.68
57.03
60.99
56.67
58.77
61.59
57.54
61.94
57.28
60.58
56.66
53.22
57.51
52.11
55.9
52.29
54.77
54.78
52.49
55.65
52.05
55.71
55.08
53.76
55.31
52.32
55.03
57.81
56.66
58.77
53.09
59.21
52.25
54.48
52.77
54.56
74.08
53.84
51.56
47.83
49.29
47.96
46.06
42.94
42.49
44.18
44.88
51.96
46.39
45.05
45.34
44.33
44.99
43.29
41.94
39.71
27.3
30.13
35.91
35.53
35.54
36.35
36.03
35.43
36.33
36.6
36.3
36.71
36.74
36.3
36.18
36.85
36.69
36.98
37.37
36.83
37.4
38.29
39.71
38.21
43.02
40.69
40.56
40.84
39.61
40.85
39.15
41.33
40.06
40.98
40.77
43.34
40.77
40.23
41.28
39.63
45.5
40.87
45.63
40.84
43.22
41.02
43.88
41.8
43.33
41.45
43.06
41.5
42.14
47.66
42.35
47.3
42.97
45.47
46.46
42.55
46.69
46.66
44.86
46.44
53.06
78.73
56.74
52.9
55.67
60.08
84.09
101.22
106.68
120.06
