Latency(ns)
195.52
188.55
192.27
176.04
173.31
197.33
185.09
175.68
171.57
205.01
179.04
175.5
165.8
207.53
177.51
178.1
168.06
200.83
176.48
175.49
181.09
194.77
176.06
173.49
193.0
187.84
177.09
173.78
197.97
184.97
175.43
171.37
203.1
181.16
175.5
170.05
208.88
180.73
174.53
143.53
195.04
180.63
199.83
177.14
175.78
188.3
190.82
176.51
173.33
201.31
181.92
176.59
168.66
205.4
178.04
177.89
174.52
196.61
177.75
178.17
177.58
198.34
177.5
175.69
188.82
191.49
177.3
173.76
198.64
184.97
177.06
171.7
206.78
180.45
177.06
166.66
206.58
178.08
178.83
62.39
173.31
179.97
205.76
174.73
178.01
162.61
205.33
172.96
185.92
159.48
204.48
179.99
178.15
170.25
199.31
175.71
170.87
161.9
182.99
189.49
169.13
174.74
195.14
174.87
201.66
181.83
176.49
167.88
205.01
177.33
178.18
172.71
199.26
176.97
176.05
183.76
194.66
174.4
177.6
166.52
201.75
176.18
178.01
49.87
198.66
192.22
188.74
177.18
172.52
204.44
180.06
176.54
171.68
204.59
179.98
177.02
183.36
196.36
179.04
175.04
192.02
190.03
177.45
161.62
192.32
199.55
185.01
176.07
171.84
200.31
183.43
176.08
170.56
207.92
181.65
176.02
165.4
203.33
177.68
176.65
178.26
197.81
177.48
174.25
154.59
181.55
208.98
183.17
175.05
165.48
202.44
176.43
176.85
176.95
195.65
176.38
173.32
191.07
187.83
175.84
170.95
201.16
180.8
175.21
146.8
198.78
181.4
195.29
173.8
175.12
185.95
188.46
174.16
174.14
193.24
185.87
173.88
173.13
197.85
182.03
174.69
172.61
202.51
181.05
174.76
152.29
