FR,00000000000000000000000000000000,0000000004,0004,585
MR,00000000000000000000000000000001,0000000004,0004,586
MR,00000000000000000000000000000002,0000000004,0004,587
LR,00000000000000000000000000000003,0000000004,0004,588
FR,00000000000000000000000000000000,0000000004,0005,591
MR,00000000000000000000000000000001,0000000004,0005,592
MR,00000000000000000000000000000002,0000000004,0005,593
LR,00000000000000000000000000000003,0000000004,0005,594
FR,00000000000000000000000000000000,0000000005,0002,597
MR,00000000000000000000000000000001,0000000005,0002,598
MR,00000000000000000000000000000002,0000000005,0002,599
LR,00000000000000000000000000000003,0000000005,0002,600
FR,00000000000000000000000000000000,0000000005,0003,603
MR,00000000000000000000000000000001,0000000005,0003,604
MR,00000000000000000000000000000002,0000000005,0003,605
LR,00000000000000000000000000000003,0000000005,0003,606
FR,00000000000000000000000000000000,0000000005,0000,609
MR,00000000000000000000000000000001,0000000005,0000,610
MR,00000000000000000000000000000002,0000000005,0000,611
LR,00000000000000000000000000000003,0000000005,0000,612
FR,00000000000000000000000000000000,0000000005,0001,615
MR,00000000000000000000000000000001,0000000005,0001,616
MR,00000000000000000000000000000002,0000000005,0001,617
LR,00000000000000000000000000000003,0000000005,0001,618
FR,00000000000000000000000000000000,0000000005,0005,621
MR,00000000000000000000000000000001,0000000005,0005,622
MR,00000000000000000000000000000002,0000000005,0005,623
LR,00000000000000000000000000000003,0000000005,0005,624
FR,00000000000000000000000000000000,0000000005,0004,627
MR,00000000000000000000000000000001,0000000005,0004,628
MR,00000000000000000000000000000002,0000000005,0004,629
LR,00000000000000000000000000000003,0000000005,0004,630
FR,00000000000000000000000000000000,0000000006,0001,704
MR,00000000000000000000000000000001,0000000006,0001,705
MR,00000000000000000000000000000002,0000000006,0001,706
LR,00000000000000000000000000000003,0000000006,0001,707
FR,00000000000000000000000000000000,0000000006,0000,710
MR,00000000000000000000000000000001,0000000006,0000,711
MR,00000000000000000000000000000002,0000000006,0000,712
LR,00000000000000000000000000000003,0000000006,0000,713
FR,00000000000000000000000000000000,0000000006,0002,716
MR,00000000000000000000000000000001,0000000006,0002,717
MR,00000000000000000000000000000002,0000000006,0002,718
LR,00000000000000000000000000000003,0000000006,0002,719
FR,00000000000000000000000000000000,0000000006,0004,722
MR,00000000000000000000000000000001,0000000006,0004,723
MR,00000000000000000000000000000002,0000000006,0004,724
LR,00000000000000000000000000000003,0000000006,0004,725
FR,00000000000000000000000000000000,0000000006,0005,728
MR,00000000000000000000000000000001,0000000006,0005,729
MR,00000000000000000000000000000002,0000000006,0005,730
LR,00000000000000000000000000000003,0000000006,0005,731
FR,00000000000000000000000000000000,0000000007,0001,734
MR,00000000000000000000000000000001,0000000007,0001,735
MR,00000000000000000000000000000002,0000000007,0001,736
LR,00000000000000000000000000000003,0000000007,0001,737
FR,00000000000000000000000000000000,0000000007,0000,740
MR,00000000000000000000000000000001,0000000007,0000,741
MR,00000000000000000000000000000002,0000000007,0000,742
LR,00000000000000000000000000000003,0000000007,0000,743
FR,00000000000000000000000000000000,0000000007,0002,746
MR,00000000000000000000000000000001,0000000007,0002,747
MR,00000000000000000000000000000002,0000000007,0002,748
LR,00000000000000000000000000000003,0000000007,0002,749
FR,00000000000000000000000000000000,0000000006,0003,752
MR,00000000000000000000000000000001,0000000006,0003,753
MR,00000000000000000000000000000002,0000000006,0003,754
LR,00000000000000000000000000000003,0000000006,0003,755
FR,00000000000000000000000000000000,0000000007,0004,829
MR,00000000000000000000000000000001,0000000007,0004,830
MR,00000000000000000000000000000002,0000000007,0004,831
LR,00000000000000000000000000000003,0000000007,0004,832
FR,00000000000000000000000000000000,0000000007,0003,835
MR,00000000000000000000000000000001,0000000007,0003,836
MR,00000000000000000000000000000002,0000000007,0003,837
LR,00000000000000000000000000000003,0000000007,0003,838
FR,00000000000000000000000000000000,0000000008,0003,841
MR,00000000000000000000000000000001,0000000008,0003,842
MR,00000000000000000000000000000002,0000000008,0003,843
LR,00000000000000000000000000000003,0000000008,0003,844
FR,00000000000000000000000000000000,0000000007,0005,847
MR,00000000000000000000000000000001,0000000007,0005,848
MR,00000000000000000000000000000002,0000000007,0005,849
LR,00000000000000000000000000000003,0000000007,0005,850
FR,00000000000000000000000000000000,0000000008,0000,853
MR,00000000000000000000000000000001,0000000008,0000,854
MR,00000000000000000000000000000002,0000000008,0000,855
LR,00000000000000000000000000000003,0000000008,0000,856
FR,00000000000000000000000000000000,0000000008,0001,859
MR,00000000000000000000000000000001,0000000008,0001,860
MR,00000000000000000000000000000002,0000000008,0001,861
LR,00000000000000000000000000000003,0000000008,0001,862
FR,00000000000000000000000000000000,0000000009,0000,865
MR,00000000000000000000000000000001,0000000009,0000,866
MR,00000000000000000000000000000002,0000000009,0000,867
LR,00000000000000000000000000000003,0000000009,0000,868
FR,00000000000000000000000000000000,0000000009,0001,871
MR,00000000000000000000000000000001,0000000009,0001,872
MR,00000000000000000000000000000002,0000000009,0001,873
LR,00000000000000000000000000000003,0000000009,0001,874
FR,00000000000000000000000000000000,0000000008,0004,877
MR,00000000000000000000000000000001,0000000008,0004,878
MR,00000000000000000000000000000002,0000000008,0004,879
LR,00000000000000000000000000000003,0000000008,0004,880
FR,00000000000000000000000000000000,0000000008,0005,954
MR,00000000000000000000000000000001,0000000008,0005,955
MR,00000000000000000000000000000002,0000000008,0005,956
LR,00000000000000000000000000000003,0000000008,0005,957
FR,00000000000000000000000000000000,0000000008,0002,960
MR,00000000000000000000000000000001,0000000008,0002,961
MR,00000000000000000000000000000002,0000000008,0002,962
LR,00000000000000000000000000000003,0000000008,0002,963
FR,00000000000000000000000000000000,0000000009,0002,966
MR,00000000000000000000000000000001,0000000009,0002,967
MR,00000000000000000000000000000002,0000000009,0002,968
LR,00000000000000000000000000000003,0000000009,0002,969
FR,00000000000000000000000000000000,0000000009,0004,972
MR,00000000000000000000000000000001,0000000009,0004,973
MR,00000000000000000000000000000002,0000000009,0004,974
LR,00000000000000000000000000000003,0000000009,0004,975
FR,00000000000000000000000000000000,0000000009,0005,978
MR,00000000000000000000000000000001,0000000009,0005,979
MR,00000000000000000000000000000002,0000000009,0005,980
LR,00000000000000000000000000000003,0000000009,0005,981
FR,00000000000000000000000000000000,000000000A,0000,984
MR,00000000000000000000000000000001,000000000A,0000,985
MR,00000000000000000000000000000002,000000000A,0000,986
LR,00000000000000000000000000000003,000000000A,0000,987
FR,00000000000000000000000000000000,0000000009,0003,990
MR,00000000000000000000000000000001,0000000009,0003,991
MR,00000000000000000000000000000002,0000000009,0003,992
LR,00000000000000000000000000000003,0000000009,0003,993
FR,00000000000000000000000000000000,000000000A,0002,996
MR,00000000000000000000000000000001,000000000A,0002,997
MR,00000000000000000000000000000002,000000000A,0002,998
LR,00000000000000000000000000000003,000000000A,0002,999
FR,00000000000000000000000000000000,000000000A,0001,1002
MR,00000000000000000000000000000001,000000000A,0001,1003
MR,00000000000000000000000000000002,000000000A,0001,1004
LR,00000000000000000000000000000003,000000000A,0001,1005
FR,00000000000000000000000000000000,000000000A,0003,1079
MR,00000000000000000000000000000001,000000000A,0003,1080
MR,00000000000000000000000000000002,000000000A,0003,1081
LR,00000000000000000000000000000003,000000000A,0003,1082
FR,00000000000000000000000000000000,000000000A,0004,1085
MR,00000000000000000000000000000001,000000000A,0004,1086
MR,00000000000000000000000000000002,000000000A,0004,1087
LR,00000000000000000000000000000003,000000000A,0004,1088
FR,00000000000000000000000000000000,000000000B,0000,1091
MR,00000000000000000000000000000001,000000000B,0000,1092
MR,00000000000000000000000000000002,000000000B,0000,1093
LR,00000000000000000000000000000003,000000000B,0000,1094
FR,00000000000000000000000000000000,000000000B,0001,1097
MR,00000000000000000000000000000001,000000000B,0001,1098
MR,00000000000000000000000000000002,000000000B,0001,1099
LR,00000000000000000000000000000003,000000000B,0001,1100
FR,00000000000000000000000000000000,000000000B,0002,1103
MR,00000000000000000000000000000001,000000000B,0002,1104
MR,00000000000000000000000000000002,000000000B,0002,1105
LR,00000000000000000000000000000003,000000000B,0002,1106
FR,00000000000000000000000000000000,000000000A,0005,1109
MR,00000000000000000000000000000001,000000000A,0005,1110
MR,00000000000000000000000000000002,000000000A,0005,1111
LR,00000000000000000000000000000003,000000000A,0005,1112
FR,00000000000000000000000000000000,000000000C,0001,1115
MR,00000000000000000000000000000001,000000000C,0001,1116
MR,00000000000000000000000000000002,000000000C,0001,1117
LR,00000000000000000000000000000003,000000000C,0001,1118
FR,00000000000000000000000000000000,000000000B,0004,1121
MR,00000000000000000000000000000001,000000000B,0004,1122
MR,00000000000000000000000000000002,000000000B,0004,1123
LR,00000000000000000000000000000003,000000000B,0004,1124
FR,00000000000000000000000000000000,000000000B,0003,1127
MR,00000000000000000000000000000001,000000000B,0003,1128
MR,00000000000000000000000000000002,000000000B,0003,1129
LR,00000000000000000000000000000003,000000000B,0003,1130
FR,00000000000000000000000000000000,000000000B,0005,1204
MR,00000000000000000000000000000001,000000000B,0005,1205
MR,00000000000000000000000000000002,000000000B,0005,1206
LR,00000000000000000000000000000003,000000000B,0005,1207
FR,00000000000000000000000000000000,000000000C,0000,1210
MR,00000000000000000000000000000001,000000000C,0000,1211
MR,00000000000000000000000000000002,000000000C,0000,1212
LR,00000000000000000000000000000003,000000000C,0000,1213
FR,00000000000000000000000000000000,000000000C,0002,1216
MR,00000000000000000000000000000001,000000000C,0002,1217
MR,00000000000000000000000000000002,000000000C,0002,1218
LR,00000000000000000000000000000003,000000000C,0002,1219
FR,00000000000000000000000000000000,000000000D,0000,1222
MR,00000000000000000000000000000001,000000000D,0000,1223
MR,00000000000000000000000000000002,000000000D,0000,1224
LR,00000000000000000000000000000003,000000000D,0000,1225
FR,00000000000000000000000000000000,000000000D,0002,1228
MR,00000000000000000000000000000001,000000000D,0002,1229
MR,00000000000000000000000000000002,000000000D,0002,1230
LR,00000000000000000000000000000003,000000000D,0002,1231
FR,00000000000000000000000000000000,000000000C,0004,1234
MR,00000000000000000000000000000001,000000000C,0004,1235
MR,00000000000000000000000000000002,000000000C,0004,1236
LR,00000000000000000000000000000003,000000000C,0004,1237
FR,00000000000000000000000000000000,000000000C,0003,1240
MR,00000000000000000000000000000001,000000000C,0003,1241
MR,00000000000000000000000000000002,000000000C,0003,1242
LR,00000000000000000000000000000003,000000000C,0003,1243
FR,00000000000000000000000000000000,000000000D,0001,1246
MR,00000000000000000000000000000001,000000000D,0001,1247
MR,00000000000000000000000000000002,000000000D,0001,1248
LR,00000000000000000000000000000003,000000000D,0001,1249
FR,00000000000000000000000000000000,000000000C,0005,1252
MR,00000000000000000000000000000001,000000000C,0005,1253
MR,00000000000000000000000000000002,000000000C,0005,1254
LR,00000000000000000000000000000003,000000000C,0005,1255
FR,00000000000000000000000000000000,000000000D,0003,1329
MR,00000000000000000000000000000001,000000000D,0003,1330
MR,00000000000000000000000000000002,000000000D,0003,1331
LR,00000000000000000000000000000003,000000000D,0003,1332
FR,00000000000000000000000000000000,000000000D,0004,1335
MR,00000000000000000000000000000001,000000000D,0004,1336
MR,00000000000000000000000000000002,000000000D,0004,1337
LR,00000000000000000000000000000003,000000000D,0004,1338
FR,00000000000000000000000000000000,000000000D,0005,1341
MR,00000000000000000000000000000001,000000000D,0005,1342
MR,00000000000000000000000000000002,000000000D,0005,1343
LR,00000000000000000000000000000003,000000000D,0005,1344
FR,00000000000000000000000000000000,000000000E,0003,1347
MR,00000000000000000000000000000001,000000000E,0003,1348
MR,00000000000000000000000000000002,000000000E,0003,1349
LR,00000000000000000000000000000003,000000000E,0003,1350
FR,00000000000000000000000000000000,000000000E,0001,1353
MR,00000000000000000000000000000001,000000000E,0001,1354
MR,00000000000000000000000000000002,000000000E,0001,1355
LR,00000000000000000000000000000003,000000000E,0001,1356
FR,00000000000000000000000000000000,000000000E,0002,1359
MR,00000000000000000000000000000001,000000000E,0002,1360
MR,00000000000000000000000000000002,000000000E,0002,1361
LR,00000000000000000000000000000003,000000000E,0002,1362
FR,00000000000000000000000000000000,000000000E,0000,1365
MR,00000000000000000000000000000001,000000000E,0000,1366
MR,00000000000000000000000000000002,000000000E,0000,1367
LR,00000000000000000000000000000003,000000000E,0000,1368
FR,00000000000000000000000000000000,000000000E,0004,1371
MR,00000000000000000000000000000001,000000000E,0004,1372
MR,00000000000000000000000000000002,000000000E,0004,1373
LR,00000000000000000000000000000003,000000000E,0004,1374
FR,00000000000000000000000000000000,000000000E,0005,1377
MR,00000000000000000000000000000001,000000000E,0005,1378
MR,00000000000000000000000000000002,000000000E,0005,1379
LR,00000000000000000000000000000003,000000000E,0005,1380
FR,00000000000000000000000000000000,000000000F,0000,1454
MR,00000000000000000000000000000001,000000000F,0000,1455
MR,00000000000000000000000000000002,000000000F,0000,1456
LR,00000000000000000000000000000003,000000000F,0000,1457
FR,00000000000000000000000000000000,000000000F,0001,1460
MR,00000000000000000000000000000001,000000000F,0001,1461
MR,00000000000000000000000000000002,000000000F,0001,1462
LR,00000000000000000000000000000003,000000000F,0001,1463
FR,00000000000000000000000000000000,000000000F,0004,1466
MR,00000000000000000000000000000001,000000000F,0004,1467
MR,00000000000000000000000000000002,000000000F,0004,1468
LR,00000000000000000000000000000003,000000000F,0004,1469
FR,00000000000000000000000000000000,000000000F,0002,1472
MR,00000000000000000000000000000001,000000000F,0002,1473
MR,00000000000000000000000000000002,000000000F,0002,1474
LR,00000000000000000000000000000003,000000000F,0002,1475
FR,00000000000000000000000000000000,000000000F,0003,1478
MR,00000000000000000000000000000001,000000000F,0003,1479
MR,00000000000000000000000000000002,000000000F,0003,1480
LR,00000000000000000000000000000003,000000000F,0003,1481
FR,00000000000000000000000000000000,000000000F,0005,1484
MR,00000000000000000000000000000001,000000000F,0005,1485
MR,00000000000000000000000000000002,000000000F,0005,1486
LR,00000000000000000000000000000003,000000000F,0005,1487
FR,00000000000000000000000000000000,0000000010,0002,1490
