FR,00000000000000000000000000000000,0000000004,0002,3079
MR,00000000000000000000000000000001,0000000004,0002,3080
MR,00000000000000000000000000000002,0000000004,0002,3081
LR,00000000000000000000000000000003,0000000004,0002,3082
FR,00000000000000000000000000000000,0000000004,0003,3115
MR,00000000000000000000000000000001,0000000004,0003,3116
MR,00000000000000000000000000000002,0000000004,0003,3117
LR,00000000000000000000000000000003,0000000004,0003,3118
FR,00000000000000000000000000000000,0000000004,0004,3204
MR,00000000000000000000000000000001,0000000004,0004,3205
MR,00000000000000000000000000000002,0000000004,0004,3206
LR,00000000000000000000000000000003,0000000004,0004,3207
FR,00000000000000000000000000000000,0000000004,0005,3329
MR,00000000000000000000000000000001,0000000004,0005,3330
MR,00000000000000000000000000000002,0000000004,0005,3331
LR,00000000000000000000000000000003,0000000004,0005,3332
FR,00000000000000000000000000000000,0000000005,0000,3454
MR,00000000000000000000000000000001,0000000005,0000,3455
MR,00000000000000000000000000000002,0000000005,0000,3456
LR,00000000000000000000000000000003,0000000005,0000,3457
FR,00000000000000000000000000000000,0000000005,0002,3579
MR,00000000000000000000000000000001,0000000005,0002,3580
MR,00000000000000000000000000000002,0000000005,0002,3581
LR,00000000000000000000000000000003,0000000005,0002,3582
FR,00000000000000000000000000000000,0000000005,0003,3616
MR,00000000000000000000000000000001,0000000005,0003,3617
MR,00000000000000000000000000000002,0000000005,0003,3618
LR,00000000000000000000000000000003,0000000005,0003,3619
FR,00000000000000000000000000000000,0000000005,0004,3704
MR,00000000000000000000000000000001,0000000005,0004,3705
MR,00000000000000000000000000000002,0000000005,0004,3706
LR,00000000000000000000000000000003,0000000005,0004,3707
FR,00000000000000000000000000000000,0000000005,0005,3725
MR,00000000000000000000000000000001,0000000005,0005,3726
MR,00000000000000000000000000000002,0000000005,0005,3727
LR,00000000000000000000000000000003,0000000005,0005,3728
FR,00000000000000000000000000000000,0000000006,0000,3731
MR,00000000000000000000000000000001,0000000006,0000,3732
MR,00000000000000000000000000000002,0000000006,0000,3733
LR,00000000000000000000000000000003,0000000006,0000,3734
FR,00000000000000000000000000000000,0000000006,0001,3829
MR,00000000000000000000000000000001,0000000006,0001,3830
MR,00000000000000000000000000000002,0000000006,0001,3831
LR,00000000000000000000000000000003,0000000006,0001,3832
FR,00000000000000000000000000000000,0000000006,0002,3954
MR,00000000000000000000000000000001,0000000006,0002,3955
MR,00000000000000000000000000000002,0000000006,0002,3956
LR,00000000000000000000000000000003,0000000006,0002,3957
FR,00000000000000000000000000000000,0000000006,0003,4000
