40,864,864
76,432,432
45,216,216
38,108,108
23,54,54
70,27,27
12,877,877
47,726,726
75,363,363
47,981,981
49,650,650
48,325,325
58,962,962
27,481,481
15,912,912
21,456,456
68,228,228
62,114,114
70,57,57
57,892,892
56,446,446
46,223,223
40,783,783
42,743,743
50,531,531
47,617,617
64,596,596
48,298,298
53,149,149
68,810,810
61,405,405
34,938,938
34,469,469
41,906,906
83,453,453
67,898,898
24,449,449
66,896,896
51,448,448
32,224,224
65,112,112
48,56,56
48,28,28
69,14,14
55,7,7
63,867,867
37,721,721
29,520,520
41,260,260
68,130,130
38,65,65
59,832,832
60,416,416
47,208,208
19,104,104
34,52,52
61,26,26
30,13,13
29,870,870
60,435,435
64,953,953
54,700,700
31,350,350
46,175,175
15,823,823
47,763,763
68,541,541
69,622,622
40,311,311
40,1019,1019
84,669,669
46,558,558
39,279,279
65,1003,1003
13,661,661
32,554,554
50,277,277
79,1002,1002
67,501,501
80,922,922
56,461,461
23,902,902
46,451,451
42,897,897
28,672,672
60,336,336
64,168,168
101,84,84
59,42,42
63,21,21
70,874,874
74,437,437
52,954,954
46,477,477
81,910,910
76,455,455
34,899,899
31,673,673
62,560,560
20,280,280
38,140,140
78,70,70
33,35,35
30,881,881
52,728,728
23,364,364
38,182,182
52,91,91
15,845,845
50,710,710
33,355,355
29,977,977
40,648,648
61,324,324
62,162,162
53,81,81
41,840,840
46,420,420
43,210,210
47,105,105
20,852,852
40,426,426
75,213,213
72,778,778
51,389,389
53,930,930
35,465,465
67,904,904
77,452,452
62,226,226
84,113,113
29,856,856
27,428,428
38,214,214
55,107,107
37,853,853
43,714,714
53,357,357
46,978,978
46,489,489
27,916,916
32,458,458
71,229,229
37,786,786
73,393,393
40,932,932
38,466,466
61,233,233
54,788,788
46,394,394
33,197,197
30,770,770
44,385,385
101,928,928
87,464,464
35,232,232
61,116,116
47,58,58
59,29,29
67,878,878
47,439,439
37,955,955
49,701,701
35,574,574
33,287,287
76,1007,1007
90,663,663
34,555,555
80,629,629
51,602,602
42,301,301
42,1014,1014
67,507,507
63,925,925
44,686,686
26,343,343
51,971,971
56,645,645
34,546,546
27,273,273
38,1000,1000
59,500,500
47,250,250
82,125,125
59,862,862
19,431,431
69,951,951
74,699,699
48,573,573
56,638,638
34,319,319
52,1023,1023
56,671,671
37,559,559
18,631,631
48,603,603
58,589,589
54,582,582
25,291,291
41,1009,1009
72,664,664
62,332,332
53,166,166
75,83,83
32,841,841
36,708,708
65,354,354
15,177,177
28,824,824
22,412,412
45,206,206
55,103,103
66,851,851
31,713,713
46,516,516
50,258,258
59,129,129
57,800,800
51,400,400
37,200,200
48,100,100
62,50,50
60,25,25
30,876,876
57,438,438
32,219,219
68,781,781
45,742,742
75,371,371
66,985,985
46,652,652
61,326,326
51,163,163
72,817,817
27,760,760
38,380,380
79,190,190
57,95,95
74,847,847
35,711,711
56,515,515
73,609,609
87,592,592
32,296,296
64,148,148
25,74,74
54,37,37
44,882,882
67,441,441
43,956,956
45,478,478
33,239,239
48,791,791
43,747,747
61,533,533
60,618,618
50,309,309
66,1018,1018
59,509,509
65,926,926
48,463,463
52,903,903
34,675,675
77,561,561
50,632,632
61,316,316
42,158,158
49,79,79
21,839,839
60,707,707
59,513,513
42,608,608
79,304,304
46,152,152
54,76,76
41,38,38
50,19,19
51,873,873
55,724,724
72,362,362
48,181,181
82,826,826
34,413,413
55,942,942
46,471,471
48,907,907
34,677,677
61,562,562
52,281,281
39,1004,1004
45,502,502
61,251,251
52,797,797
69,750,750
24,375,375
20,987,987
83,653,653
83,550,550
23,275,275
61,1001,1001
31,660,660
62,330,330
53,165,165
76,818,818
